GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,BioSample,SRA,cell line,tissue,Genome_build,Supplementary_files_format_and_content
GSE114964,ACI_126 ATAC-seq replicate 1,GSM3161706,Public on May 01 2019,May 28 2018,May 01 2019,SRA,1,Endometrial serous adenocarcinoma ,Homo sapiens,9606,"RL95-2 cells were maintained using DMEM:F12 media; Caov3, OVCAR8 cells were maintained using RPMI 1640; AN3CA, Ishikawa, KLE were maintained using EME; SNU685, JHUCS1 cells were maintained using DME:F12; ACI126, ACI158 cells were maintained using DMEM/F-12; MDA-MB-436, MDA-MB-231 cells were maintained using DMEM-HG without 2mM L glutamine.",genomic DNA,"50,000 cells were lysed in ATAC lysis buffer and tagmented (Illumina Nextera DNA Library Preparation Kit). After adding SDS, the samples were purified with 2X Agencourt AMPure XP beads (Beckman Coulter A63881), Samples were amplified using NEBNext Q5 Hot Start HiFi PCR Master Mix. The concentration of samples was checked using PicoGreen and median fragment size was checked using the Agilent D1000 screentape on the Agilent Technologies 2200 TapeStation. Samples were sequenced PE50 on a HiSeq 2500.","Align to hg19 reference genome using Bowtie 1.0.1, Peak calling to generate signal tracks on on individual replicates using macs2 2.1.1.20160309 with options -B -p 1e-2 --shift -100 --extsize 200",GPL16791,"Hatice,Ulku,Osmanbeyoglu",University of Pittsburgh,5117 Centre Ave,Pittsburgh,PA,15213,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE114964, GSE129339",0,GSM3161706_ACI_126_R1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3161nnn/GSM3161706/suppl/GSM3161706_ACI_126_R1.bw,ACI_126 ATAC-seq replicate 1,141812413,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN09272150,https://www.ncbi.nlm.nih.gov/sra?term,ACI_126,Endometrial serous adenocarcinoma ,hg19,bw files were generated using deeptools
GSE114964,ACI_126 ATAC-seq replicate 2,GSM3161707,Public on May 01 2019,May 28 2018,May 01 2019,SRA,1,Endometrial serous adenocarcinoma ,Homo sapiens,9606,"RL95-2 cells were maintained using DMEM:F12 media; Caov3, OVCAR8 cells were maintained using RPMI 1640; AN3CA, Ishikawa, KLE were maintained using EME; SNU685, JHUCS1 cells were maintained using DME:F12; ACI126, ACI158 cells were maintained using DMEM/F-12; MDA-MB-436, MDA-MB-231 cells were maintained using DMEM-HG without 2mM L glutamine.",genomic DNA,"50,000 cells were lysed in ATAC lysis buffer and tagmented (Illumina Nextera DNA Library Preparation Kit). After adding SDS, the samples were purified with 2X Agencourt AMPure XP beads (Beckman Coulter A63881), Samples were amplified using NEBNext Q5 Hot Start HiFi PCR Master Mix. The concentration of samples was checked using PicoGreen and median fragment size was checked using the Agilent D1000 screentape on the Agilent Technologies 2200 TapeStation. Samples were sequenced PE50 on a HiSeq 2500.","Align to hg19 reference genome using Bowtie 1.0.1, Peak calling to generate signal tracks on on individual replicates using macs2 2.1.1.20160309 with options -B -p 1e-2 --shift -100 --extsize 200",GPL16791,"Hatice,Ulku,Osmanbeyoglu",University of Pittsburgh,5117 Centre Ave,Pittsburgh,PA,15213,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE114964, GSE129339",0,GSM3161707_ACI_126_R2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3161nnn/GSM3161707/suppl/GSM3161707_ACI_126_R2.bw,ACI_126 ATAC-seq replicate 2,119686926,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN09272149,https://www.ncbi.nlm.nih.gov/sra?term,ACI_126,Endometrial serous adenocarcinoma ,hg19,bw files were generated using deeptools
GSE114964,ACI_158 ATAC-seq replicate 1,GSM3161708,Public on May 01 2019,May 28 2018,May 01 2019,SRA,1,Endometrial serous adenocarcinoma ,Homo sapiens,9606,"RL95-2 cells were maintained using DMEM:F12 media; Caov3, OVCAR8 cells were maintained using RPMI 1640; AN3CA, Ishikawa, KLE were maintained using EME; SNU685, JHUCS1 cells were maintained using DME:F12; ACI126, ACI158 cells were maintained using DMEM/F-12; MDA-MB-436, MDA-MB-231 cells were maintained using DMEM-HG without 2mM L glutamine.",genomic DNA,"50,000 cells were lysed in ATAC lysis buffer and tagmented (Illumina Nextera DNA Library Preparation Kit). After adding SDS, the samples were purified with 2X Agencourt AMPure XP beads (Beckman Coulter A63881), Samples were amplified using NEBNext Q5 Hot Start HiFi PCR Master Mix. The concentration of samples was checked using PicoGreen and median fragment size was checked using the Agilent D1000 screentape on the Agilent Technologies 2200 TapeStation. Samples were sequenced PE50 on a HiSeq 2500.","Align to hg19 reference genome using Bowtie 1.0.1, Peak calling to generate signal tracks on on individual replicates using macs2 2.1.1.20160309 with options -B -p 1e-2 --shift -100 --extsize 200",GPL16791,"Hatice,Ulku,Osmanbeyoglu",University of Pittsburgh,5117 Centre Ave,Pittsburgh,PA,15213,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE114964, GSE129339",0,GSM3161708_ACI_158_R1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3161nnn/GSM3161708/suppl/GSM3161708_ACI_158_R1.bw,ACI_158 ATAC-seq replicate 1,120242386,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN09272148,https://www.ncbi.nlm.nih.gov/sra?term,ACI_158,Endometrial serous adenocarcinoma ,hg19,bw files were generated using deeptools
GSE114964,ACI_158 ATAC-seq replicate 2,GSM3161709,Public on May 01 2019,May 28 2018,May 01 2019,SRA,1,Endometrial serous adenocarcinoma ,Homo sapiens,9606,"RL95-2 cells were maintained using DMEM:F12 media; Caov3, OVCAR8 cells were maintained using RPMI 1640; AN3CA, Ishikawa, KLE were maintained using EME; SNU685, JHUCS1 cells were maintained using DME:F12; ACI126, ACI158 cells were maintained using DMEM/F-12; MDA-MB-436, MDA-MB-231 cells were maintained using DMEM-HG without 2mM L glutamine.",genomic DNA,"50,000 cells were lysed in ATAC lysis buffer and tagmented (Illumina Nextera DNA Library Preparation Kit). After adding SDS, the samples were purified with 2X Agencourt AMPure XP beads (Beckman Coulter A63881), Samples were amplified using NEBNext Q5 Hot Start HiFi PCR Master Mix. The concentration of samples was checked using PicoGreen and median fragment size was checked using the Agilent D1000 screentape on the Agilent Technologies 2200 TapeStation. Samples were sequenced PE50 on a HiSeq 2500.","Align to hg19 reference genome using Bowtie 1.0.1, Peak calling to generate signal tracks on on individual replicates using macs2 2.1.1.20160309 with options -B -p 1e-2 --shift -100 --extsize 200",GPL16791,"Hatice,Ulku,Osmanbeyoglu",University of Pittsburgh,5117 Centre Ave,Pittsburgh,PA,15213,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE114964, GSE129339",0,GSM3161709_ACI_158_R2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3161nnn/GSM3161709/suppl/GSM3161709_ACI_158_R2.bw,ACI_158 ATAC-seq replicate 2,124937706,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN09272147,https://www.ncbi.nlm.nih.gov/sra?term,ACI_158,Endometrial serous adenocarcinoma ,hg19,bw files were generated using deeptools
GSE114964,AN3_CA ATAC-seq replicate 1,GSM3161710,Public on May 01 2019,May 28 2018,May 01 2019,SRA,1,Endometrial adenocarcinoma,Homo sapiens,9606,"RL95-2 cells were maintained using DMEM:F12 media; Caov3, OVCAR8 cells were maintained using RPMI 1640; AN3CA, Ishikawa, KLE were maintained using EME; SNU685, JHUCS1 cells were maintained using DME:F12; ACI126, ACI158 cells were maintained using DMEM/F-12; MDA-MB-436, MDA-MB-231 cells were maintained using DMEM-HG without 2mM L glutamine.",genomic DNA,"50,000 cells were lysed in ATAC lysis buffer and tagmented (Illumina Nextera DNA Library Preparation Kit). After adding SDS, the samples were purified with 2X Agencourt AMPure XP beads (Beckman Coulter A63881), Samples were amplified using NEBNext Q5 Hot Start HiFi PCR Master Mix. The concentration of samples was checked using PicoGreen and median fragment size was checked using the Agilent D1000 screentape on the Agilent Technologies 2200 TapeStation. Samples were sequenced PE50 on a HiSeq 2500.","Align to hg19 reference genome using Bowtie 1.0.1, Peak calling to generate signal tracks on on individual replicates using macs2 2.1.1.20160309 with options -B -p 1e-2 --shift -100 --extsize 200",GPL16791,"Hatice,Ulku,Osmanbeyoglu",University of Pittsburgh,5117 Centre Ave,Pittsburgh,PA,15213,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE114964, GSE129339",0,GSM3161710_AN3_CA_R1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3161nnn/GSM3161710/suppl/GSM3161710_AN3_CA_R1.bw,AN3_CA ATAC-seq replicate 1,130374533,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN09272146,https://www.ncbi.nlm.nih.gov/sra?term,AN3_CA,Endometrial adenocarcinoma,hg19,bw files were generated using deeptools
GSE114964,AN3_CA ATAC-seq replicate 2,GSM3161711,Public on May 01 2019,May 28 2018,May 01 2019,SRA,1,Endometrial adenocarcinoma,Homo sapiens,9606,"RL95-2 cells were maintained using DMEM:F12 media; Caov3, OVCAR8 cells were maintained using RPMI 1640; AN3CA, Ishikawa, KLE were maintained using EME; SNU685, JHUCS1 cells were maintained using DME:F12; ACI126, ACI158 cells were maintained using DMEM/F-12; MDA-MB-436, MDA-MB-231 cells were maintained using DMEM-HG without 2mM L glutamine.",genomic DNA,"50,000 cells were lysed in ATAC lysis buffer and tagmented (Illumina Nextera DNA Library Preparation Kit). After adding SDS, the samples were purified with 2X Agencourt AMPure XP beads (Beckman Coulter A63881), Samples were amplified using NEBNext Q5 Hot Start HiFi PCR Master Mix. The concentration of samples was checked using PicoGreen and median fragment size was checked using the Agilent D1000 screentape on the Agilent Technologies 2200 TapeStation. Samples were sequenced PE50 on a HiSeq 2500.","Align to hg19 reference genome using Bowtie 1.0.1, Peak calling to generate signal tracks on on individual replicates using macs2 2.1.1.20160309 with options -B -p 1e-2 --shift -100 --extsize 200",GPL16791,"Hatice,Ulku,Osmanbeyoglu",University of Pittsburgh,5117 Centre Ave,Pittsburgh,PA,15213,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE114964, GSE129339",0,GSM3161711_AN3_CA_R2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3161nnn/GSM3161711/suppl/GSM3161711_AN3_CA_R2.bw,AN3_CA ATAC-seq replicate 2,131286635,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN09272145,https://www.ncbi.nlm.nih.gov/sra?term,AN3_CA,Endometrial adenocarcinoma,hg19,bw files were generated using deeptools
GSE114964,Caov3 ATAC-seq replicate 1,GSM3161712,Public on May 01 2019,May 28 2018,May 01 2019,SRA,1,High grade ovarian serous adenocarcinoma,Homo sapiens,9606,"RL95-2 cells were maintained using DMEM:F12 media; Caov3, OVCAR8 cells were maintained using RPMI 1640; AN3CA, Ishikawa, KLE were maintained using EME; SNU685, JHUCS1 cells were maintained using DME:F12; ACI126, ACI158 cells were maintained using DMEM/F-12; MDA-MB-436, MDA-MB-231 cells were maintained using DMEM-HG without 2mM L glutamine.",genomic DNA,"50,000 cells were lysed in ATAC lysis buffer and tagmented (Illumina Nextera DNA Library Preparation Kit). After adding SDS, the samples were purified with 2X Agencourt AMPure XP beads (Beckman Coulter A63881), Samples were amplified using NEBNext Q5 Hot Start HiFi PCR Master Mix. The concentration of samples was checked using PicoGreen and median fragment size was checked using the Agilent D1000 screentape on the Agilent Technologies 2200 TapeStation. Samples were sequenced PE50 on a HiSeq 2500.","Align to hg19 reference genome using Bowtie 1.0.1, Peak calling to generate signal tracks on on individual replicates using macs2 2.1.1.20160309 with options -B -p 1e-2 --shift -100 --extsize 200",GPL16791,"Hatice,Ulku,Osmanbeyoglu",University of Pittsburgh,5117 Centre Ave,Pittsburgh,PA,15213,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE114964, GSE129339",0,GSM3161712_Caov3_R1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3161nnn/GSM3161712/suppl/GSM3161712_Caov3_R1.bw,Caov3 ATAC-seq replicate 1,139359764,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN09272144,https://www.ncbi.nlm.nih.gov/sra?term,Caov3,High grade ovarian serous adenocarcinoma,hg19,bw files were generated using deeptools
GSE114964,Caov3 ATAC-seq replicate 2,GSM3161713,Public on May 01 2019,May 28 2018,May 01 2019,SRA,1,High grade ovarian serous adenocarcinoma,Homo sapiens,9606,"RL95-2 cells were maintained using DMEM:F12 media; Caov3, OVCAR8 cells were maintained using RPMI 1640; AN3CA, Ishikawa, KLE were maintained using EME; SNU685, JHUCS1 cells were maintained using DME:F12; ACI126, ACI158 cells were maintained using DMEM/F-12; MDA-MB-436, MDA-MB-231 cells were maintained using DMEM-HG without 2mM L glutamine.",genomic DNA,"50,000 cells were lysed in ATAC lysis buffer and tagmented (Illumina Nextera DNA Library Preparation Kit). After adding SDS, the samples were purified with 2X Agencourt AMPure XP beads (Beckman Coulter A63881), Samples were amplified using NEBNext Q5 Hot Start HiFi PCR Master Mix. The concentration of samples was checked using PicoGreen and median fragment size was checked using the Agilent D1000 screentape on the Agilent Technologies 2200 TapeStation. Samples were sequenced PE50 on a HiSeq 2500.","Align to hg19 reference genome using Bowtie 1.0.1, Peak calling to generate signal tracks on on individual replicates using macs2 2.1.1.20160309 with options -B -p 1e-2 --shift -100 --extsize 200",GPL16791,"Hatice,Ulku,Osmanbeyoglu",University of Pittsburgh,5117 Centre Ave,Pittsburgh,PA,15213,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE114964, GSE129339",0,GSM3161713_Caov3_R2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3161nnn/GSM3161713/suppl/GSM3161713_Caov3_R2.bw,Caov3 ATAC-seq replicate 2,142572151,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN09272143,https://www.ncbi.nlm.nih.gov/sra?term,Caov3,High grade ovarian serous adenocarcinoma,hg19,bw files were generated using deeptools
GSE114964,Ishikawa ATAC-seq replicate 1,GSM3161714,Public on May 01 2019,May 28 2018,May 01 2019,SRA,1,Endometrial adenocarcinoma,Homo sapiens,9606,"RL95-2 cells were maintained using DMEM:F12 media; Caov3, OVCAR8 cells were maintained using RPMI 1640; AN3CA, Ishikawa, KLE were maintained using EME; SNU685, JHUCS1 cells were maintained using DME:F12; ACI126, ACI158 cells were maintained using DMEM/F-12; MDA-MB-436, MDA-MB-231 cells were maintained using DMEM-HG without 2mM L glutamine.",genomic DNA,"50,000 cells were lysed in ATAC lysis buffer and tagmented (Illumina Nextera DNA Library Preparation Kit). After adding SDS, the samples were purified with 2X Agencourt AMPure XP beads (Beckman Coulter A63881), Samples were amplified using NEBNext Q5 Hot Start HiFi PCR Master Mix. The concentration of samples was checked using PicoGreen and median fragment size was checked using the Agilent D1000 screentape on the Agilent Technologies 2200 TapeStation. Samples were sequenced PE50 on a HiSeq 2500.","Align to hg19 reference genome using Bowtie 1.0.1, Peak calling to generate signal tracks on on individual replicates using macs2 2.1.1.20160309 with options -B -p 1e-2 --shift -100 --extsize 200",GPL16791,"Hatice,Ulku,Osmanbeyoglu",University of Pittsburgh,5117 Centre Ave,Pittsburgh,PA,15213,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE114964, GSE129339",0,GSM3161714_Ishikawa_R1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3161nnn/GSM3161714/suppl/GSM3161714_Ishikawa_R1.bw,Ishikawa ATAC-seq replicate 1,129702297,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN09272142,https://www.ncbi.nlm.nih.gov/sra?term,Ishikawa,Endometrial adenocarcinoma,hg19,bw files were generated using deeptools
GSE114964,Ishikawa ATAC-seq replicate 2,GSM3161715,Public on May 01 2019,May 28 2018,May 01 2019,SRA,1,Endometrial adenocarcinoma,Homo sapiens,9606,"RL95-2 cells were maintained using DMEM:F12 media; Caov3, OVCAR8 cells were maintained using RPMI 1640; AN3CA, Ishikawa, KLE were maintained using EME; SNU685, JHUCS1 cells were maintained using DME:F12; ACI126, ACI158 cells were maintained using DMEM/F-12; MDA-MB-436, MDA-MB-231 cells were maintained using DMEM-HG without 2mM L glutamine.",genomic DNA,"50,000 cells were lysed in ATAC lysis buffer and tagmented (Illumina Nextera DNA Library Preparation Kit). After adding SDS, the samples were purified with 2X Agencourt AMPure XP beads (Beckman Coulter A63881), Samples were amplified using NEBNext Q5 Hot Start HiFi PCR Master Mix. The concentration of samples was checked using PicoGreen and median fragment size was checked using the Agilent D1000 screentape on the Agilent Technologies 2200 TapeStation. Samples were sequenced PE50 on a HiSeq 2500.","Align to hg19 reference genome using Bowtie 1.0.1, Peak calling to generate signal tracks on on individual replicates using macs2 2.1.1.20160309 with options -B -p 1e-2 --shift -100 --extsize 200",GPL16791,"Hatice,Ulku,Osmanbeyoglu",University of Pittsburgh,5117 Centre Ave,Pittsburgh,PA,15213,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE114964, GSE129339",0,GSM3161715_Ishikawa_R2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3161nnn/GSM3161715/suppl/GSM3161715_Ishikawa_R2.bw,Ishikawa ATAC-seq replicate 2,128461713,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN09272141,https://www.ncbi.nlm.nih.gov/sra?term,Ishikawa,Endometrial adenocarcinoma,hg19,bw files were generated using deeptools
